disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd
2021,12/01/2021,2021-11-16,,NEE,NextEra Energy Inc,sale_full,"$1,001 - $15,000",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False
2021,12/01/2021,2021-11-16,,SLVM,Sylvamo Coproration,sale_full,"$1,001 -",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False
2021,12/01/2021,2021-11-18,,CG,The Carlyle Group Inc,sale_full,"$50,001 - $100,000",Hon. Thomas Suozzi,NY03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,False
2021,11/02/2021,2021-10-13,joint,MO,Altria Group Inc,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False
2021,11/02/2021,2021-10-07,joint,DUKH,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,sale_full,"$50,001 - $100,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False
2021,11/02/2021,2021-10-08,joint,GSK,GlaxoSmithKline PLC,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False
2021,11/02/2021,2021-10-07,joint,OLP,One Liberty Properties Inc,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False
2021,11/02/2021,2021-10-04,joint,PPL,PPL Corporation,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False
2021,11/02/2021,2021-10-25,joint,SCU,Sculptor Capital Management Inc Class A,purchase,"$15,001 - $50,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False
2021,11/02/2021,2021-10-26,joint,SCU,Sculptor Capital Management Inc Class A,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False
2021,11/02/2021,2021-10-08,joint,VIASP,Via Renewables Inc - 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False
2020,04/28/2020,2020-02-24,joint,BHC,Bausch Health Companies Inc.,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-06,joint,BAH,Booz Allen Hamilton Holding Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,True
2020,04/28/2020,2020-03-23,joint,BYD,Boyd Gaming Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-04,joint,CTLT,"Catalent, Inc.",purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-18,joint,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-24,joint,CNC,Centene Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-31,joint,DG,Dollar General Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-26,joint,DPZ,Domino's Pizza Inc,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,True
2020,04/28/2020,2020-02-05,joint,DNKN,"Dunkin' Brands Group, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-24,joint,ENV,"Envestnet, Inc",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-21,joint,ENV,"Envestnet, Inc",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-06,joint,AQUA,Evoqua Water Technologies Corp.,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-17,joint,LKQ,LKQ Corporation,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-24,joint,MAS,Masco Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-05,joint,NXST,"Nexstar Media Group, Inc. - Class A",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,True
2020,04/28/2020,2020-02-24,joint,OKE,"ONEOK, Inc.",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,True
2020,04/28/2020,2020-03-09,joint,OKE,"ONEOK, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-24,joint,PANW,"Palo alto Networks, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,True
2020,04/28/2020,2020-03-06,joint,RP,"RealPage, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,True
2020,04/28/2020,2020-03-16,joint,QSR,Restaurant Brands International Inc. Common Shares,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-05,joint,QSR,Restaurant Brands International Inc. Common Shares,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-24,joint,SCI,Service Corporation International,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-25,joint,COO,"The Cooper Companies, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,True
2020,04/28/2020,2020-02-24,joint,UNVR,Univar Solutions Inc.,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-17,joint,USFD,US Foods Holding Corp.,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-25,joint,MTN,"Vail Resorts, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-26,joint,VLO,Valero Energy Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-18,joint,WAB,Westinghouse air Brake Technologies Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-18,joint,WH,"Wyndham Hotels & Resorts, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-17,joint,WH,"Wyndham Hotels & Resorts, Inc.",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-02-05,joint,XPO,"XPO Logistics, Inc.",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False
2020,04/28/2020,2020-03-16,self,BRK.B,Berkshire Hathaway Inc. New,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016500.pdf,False
2020,04/28/2020,2020-03-13,self,BSX,Boston Scientific Corporation,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016501.pdf,True
2020,04/28/2020,2020-03-13,self,SPCE,"Virgin Galactic Holdings, Inc.",sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016501.pdf,False
2020,09/22/2020,2020-08-17,,--,Metallic Minerals Corp.,sale_partial,"$100,001 - $250,000",Mr. TJ John (Tj) Cox,CA21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017403.pdf,True
2021,03/23/2021,2021-01-27,self,--,Zimmer Biomet Holdings,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018447.pdf,False
2021,03/23/2021,2021-02-08,,--,Zimmer Biomet Holdings,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018447.pdf,False
2021,03/23/2021,2021-02-08,self,--,Zimmer Biomet Holdings,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018448.pdf,False
2021,03/23/2021,2021-02-04,self,DD,"DuPont De Nemours, Inc",sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018449.pdf,False
2021,03/23/2021,2021-02-19,self,--,Celegene Corp,sale_full,"$15,001 - $50,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018450.pdf,False
2021,03/23/2021,2021-02-16,,--,Outfront Media,sale_full,"$15,001 - $50,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018450.pdf,False
2021,03/23/2021,2021-03-15,joint,COLD,Americold Realty Trust Common Shares,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018451.pdf,False
2021,03/23/2021,2021-03-15,self,COLD,Americold Realty Trust Common Shares,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018452.pdf,False
2021,03/23/2021,2021-03-11,self,ADBE,Adobe Inc,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,False
2021,03/23/2021,2021-03-12,self,COLD,Americold Realty Trust Common Shares,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,True
2021,03/23/2021,2021-03-15,self,COLD,Americold Realty Trust Common Shares,sale_full,"$15,001 - $50,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,True
2021,03/23/2021,2021-03-11,self,NVDA,NVIDIA Corporation,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,False
2021,01/26/2021,2021-01-22,,DUK,Duke Energy Corpoation,purchase,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,False
2021,01/26/2021,2021-01-22,joint,LEE,"Lee Enterprises, Inc.",sale_full,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,False
2021,01/26/2021,2021-01-22,self,LEE,"Lee Enterprises, Inc.",sale_full,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,False
2021,01/26/2021,2020-11-24,self,LEE,"Lee Enterprises, Inc.",purchase,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,False
2021,01/26/2021,2021-01-21,,--,Spectra Energy Capital LLC,sale_full,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,True
2021,01/26/2021,2020-12-01,joint,VTRS,Vitatris Inc.,sale_full,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,False
2021,01/26/2021,2021-01-12,self,GM,General Motors Company,purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,False
2021,01/26/2021,2021-01-12,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,False
2021,01/26/2021,2021-01-14,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,False
2021,01/26/2021,2021-01-15,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,False
2021,01/26/2021,2021-01-11,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,False
2021,01/26/2021,2021-01-12,self,GM,General Motors Company,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,False
2021,01/26/2021,2021-01-12,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,False
2021,01/26/2021,2021-01-14,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,False
2021,01/26/2021,2021-01-11,joint,GIS,General Mills,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,False
2021,01/26/2021,2021-01-12,joint,GM,General Motors Company,purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,False
2021,01/26/2021,2021-01-11,joint,TMUS,T-Mobile USA,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,False
2021,01/26/2021,2020-07-02,,COST,Costco Wholesale Corp,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,False
2021,01/26/2021,2020-07-02,,CCI,Crown Castle International Corp,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,False
2021,01/26/2021,2020-07-02,,CVS,CVS Health Corporation,sale_full,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,False
2021,01/26/2021,2020-07-02,,DUK,Duke Energy Corp,sale_full,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,False
2021,01/26/2021,2020-07-02,,HD,Home Depot,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,False
2021,01/26/2021,2020-07-02,,KMB,Kimberly-Clark Corp,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,False
2021,01/26/2021,2020-07-02,,RGLD,Royal Gold Inc,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,False
2021,01/26/2021,2020-07-02,,V,Visa Inc,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,False
2021,02/25/2021,2021-01-14,,--,Oregon State Health and Science University,purchase,"$15,001 - $50,000",Hon. Vern Buchanan,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018280.pdf,False
2021,02/25/2021,2021-01-21,,CI,Cigna Corporation,sale_partial,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,False
2021,02/25/2021,2021-02-10,,CL,Colgate-Palmolive Company,purchase,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,False
2021,02/25/2021,2021-01-28,,CL,Colgate-Palmolive Company,purchase,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,False
2021,02/25/2021,2021-01-28,,PPG,"PPG Industries, Inc.",sale_partial,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,False
2021,02/25/2021,2021-02-10,,TRV,"The Travelers Companies, Inc.",sale_partial,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,False
2021,02/25/2021,2021-01-15,self,FB,Facebook Inc,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-27,self,--,Conn St Hsg Fin Auth Hsh Mtg F,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-08,self,--,Indiana Bd Bk Rev,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-14,self,FMS,Fresenius Med Care Ag,purchase,"$50,001 - $100,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-14,self,ACGL,Arch Cap Group Ltd,purchase,"$15,001 - $50,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-13,self,ACGL,Arch Cap Group Ltd,purchase,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-05,self,--,Triborough Brdg & Tunl Auth N,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-05,self,--,Triborough Brdg & Tunl Auth N,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-04,self,--,Purdue Uiv Ind Univ Revs,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-04,self,--,Oregon St Hsg & Cmnty Svcs Dep,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-14,self,BKNG,Booking Hldgs Inc,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-15,self,--,Massachusetts St Hsg & Cmnty Svcs Dep,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-12,self,CB,Chubb Ltd,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-27,self,HON,Honeywell Intl Inc,sale_full,"$15,001 - $50,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-25,self,PCAR,Paccar Inc,sale_full,"$15,001 - $50,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-06,self,PAG,"Pensake Automotive Group, Inc.",sale_full,"$15,001 - $50,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-04,self,--,Virginia College Bldg Auth Va,sale_full,"$50,001 - $100,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-12,self,ACN,Accenture Plc,sale_full,"$50,001 - $100,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-06,self,--,Indiana Bd Bk Rev,sale_full,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-08,self,--,Indiana Bd Bk Rev,sale_full,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-12,self,--,Mesa Arizona,sale_full,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-11,self,--,West Fargo N D,sale_full,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
