PID,College,Level,lab01,lab01 - Max Points,lab01 - Lateness (H:M:S),lab02,lab02 - Max Points,lab02 - Lateness (H:M:S),project01,project01 - Max Points,project01 - Lateness (H:M:S),lab03,lab03 - Max Points,lab03 - Lateness (H:M:S),project01_free_response,project01_free_response - Max Points,project01_free_response - Lateness (H:M:S),lab04,lab04 - Max Points,lab04 - Lateness (H:M:S),lab05,lab05 - Max Points,lab05 - Lateness (H:M:S),project02_checkpoint01,project02_checkpoint01 - Max Points,project02_checkpoint01 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Lateness (H:M:S),lab06,lab06 - Max Points,lab06 - Lateness (H:M:S),project02_checkpoint02,project02_checkpoint02 - Max Points,project02_checkpoint02 - Lateness (H:M:S),lab07,lab07 - Max Points,lab07 - Lateness (H:M:S),project02,project02 - Max Points,project02 - Lateness (H:M:S),project02_free_response,project02_free_response - Max Points,project02_free_response - Lateness (H:M:S),lab08,lab08 - Max Points,lab08 - Lateness (H:M:S),lab09,lab09 - Max Points,lab09 - Lateness (H:M:S),project03_checkpoint01,project03_checkpoint01 - Max Points,project03_checkpoint01 - Lateness (H:M:S),project03,project03 - Max Points,project03 - Lateness (H:M:S),Final,Final - Max Points,Final - Lateness (H:M:S),Total Lateness (H:M:S),project05_free_response,project05_free_response - Max Points,project05_free_response - Lateness (H:M:S),project04,project04 - Max Points,project04 - Lateness (H:M:S),project05,project05 - Max Points,project05 - Lateness (H:M:S),discussion01,discussion01 - Max Points,discussion01 - Lateness (H:M:S),discussion02,discussion02 - Max Points,discussion02 - Lateness (H:M:S),discussion03,discussion03 - Max Points,discussion03 - Lateness (H:M:S),discussion04,discussion04 - Max Points,discussion04 - Lateness (H:M:S),discussion05,discussion05 - Max Points,discussion05 - Lateness (H:M:S),discussion06,discussion06 - Max Points,discussion06 - Lateness (H:M:S),discussion07,discussion07 - Max Points,discussion07 - Lateness (H:M:S),discussion08,discussion08 - Max Points,discussion08 - Lateness (H:M:S),discussion09,discussion09 - Max Points,discussion09 - Lateness (H:M:S),discussion10,discussion10 - Max Points,discussion10 - Lateness (H:M:S)
A14369624,WA,JR,100,100,00:00:00,99.63945428,100,00:00:00,82.8224905,85,00:00:00,96.46995082,100,00:00:00,14.25078597,15,00:00:00,99.65998061,100,04:09:52,70,70,00:00:00,9.479157066,10,00:00:00,45.13618981,47,00:00:00,80.77537604,85,00:00:00,3.17551445,10,00:00:00,92.44722307,100,00:00:00,61.37291307,75,00:00:00,22.71976963,25,00:00:00,92.56641488,100,00:00:00,50,50,00:00:00,0,10,00:00:00,96.92870909,100,00:00:00,87,87,00:00:00,04:09:52,21.117047,25,00:00:00,75,75,00:00:00,75,75,00:00:00,8.875167126,10,00:00:00,10,10,00:00:00,9.952112332,10,00:00:00,10,10,00:00:00,9.918219303,10,00:00:00,10,10,00:00:00,10,10,04:09:52,10,10,00:00:00,9.595310163,10,00:00:00,10,10,00:00:00
A14137484,FI,SR,91.53484105,100,00:00:00,100,100,00:00:00,69.06882264,85,00:00:00,99.79028994,100,00:00:00,10.18544052,15,00:00:00,95.05217347,100,42:06:36,70,70,00:00:00,10,10,00:00:00,31.62238857,47,00:00:00,84.47899104,85,362:42:24,10,10,00:00:00,85.86714381,100,00:00:00,70.93759015,75,00:00:00,25,25,00:00:00,66.16405673,100,00:00:00,50,50,00:00:00,9.69951107,10,00:00:00,94.45821608,100,00:00:00,85.00232452,87,00:00:00,534:39:53,19.57977084,25,00:00:00,60.47757855,75,00:00:00,68.73711855,75,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.042561612,10,00:00:00,8.699157713,10,00:00:00,8.460119925,10,00:00:00,8.892972332,10,00:00:00,9.636071797,10,00:00:00,9.059151385,10,42:06:36,9.98482976,10,00:00:00
A14353945,WA,JR,100,100,00:00:00,99.29543906,100,00:00:00,81.0570205,85,00:00:00,83.19419276,100,00:00:00,7.182578472,15,00:00:00,89.11974539,100,47:53:28,62.18043544,70,00:00:00,8.332149449,10,00:00:00,46.16987584,47,00:00:00,79.83234857,85,442:00:09,10,10,00:00:00,93.09221478,100,00:00:00,75,75,00:00:00,22.2683764,25,00:00:00,52.6066359,100,00:00:00,36.73244458,50,00:00:00,2.790467902,10,00:00:00,85.68559762,100,00:00:00,77.32780815,87,00:00:00,489:53:37,24.45373593,25,489:53:37,70.88687486,75,00:00:00,75,75,00:00:00,10,10,442:00:09,10,10,00:00:00,8.61456871,10,489:53:37,10,10,442:00:09,10,10,489:53:37,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00
A14600543,RE,SR,97.55946282,100,00:00:00,100,100,00:00:00,77.49390533,85,00:00:00,97.54917279,100,385:35:30,15,15,00:00:00,89.46159052,100,00:00:00,69.0156589,70,288:51:34,6.44053588,10,00:00:00,47,47,00:00:00,76.46665746,85,313:07:17,4.366758602,10,00:00:00,99.37912761,100,00:00:00,75,75,00:00:00,25,25,00:00:00,92.21597184,100,00:00:00,50,50,00:00:00,6.016671822,10,00:00:00,97.93035505,100,00:00:00,75.98879914,87,00:00:00,987:54:39,25,25,00:00:00,61.33112679,75,385:35:30,68.36918955,75,00:00:00,8.710908297,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.935516424,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.283195817,10,00:00:00,10,10,987:54:39,9.264758572,10,00:00:00,10,10,00:00:00
A14164800,MU,SR,87.73341959,100,00:00:00,45.69129019,100,00:00:00,44.57254945,85,00:00:00,43.18723123,100,00:00:00,10.10100606,15,00:00:00,74.6877569,100,00:00:00,70,70,00:00:00,10,10,00:00:00,28.09694452,47,00:00:00,70.33538243,85,764:40:45,7.349066913,10,00:00:00,72.8044709,100,00:04:51,70.84499029,75,00:00:00,25,25,00:00:00,72.22438835,100,00:00:00,26.29330413,50,00:00:00,0,10,00:00:00,76.10965761,100,00:00:00,71.00036085,87,00:00:00,828:47:53,12.26418358,25,00:00:00,44.23176389,75,00:04:51,51.3923433,75,00:04:51,7.419356535,10,00:00:00,7.992771675,10,828:47:53,5.17498711,10,00:04:51,3.346513043,10,00:00:00,9.390530093,10,00:00:00,7.449839932,10,00:00:00,6.082880102,10,00:00:00,8.284555208,10,00:00:00,7.718150011,10,00:00:00,8.789901057,10,00:00:00
A14847309,WA,SR,100,100,00:00:00,79.96045305,100,00:00:00,85,85,00:00:00,100,100,00:00:00,14.74612123,15,00:00:00,90.67588032,100,40:18:06,56.92288074,70,00:00:00,10,10,00:00:00,38.13236426,47,00:00:00,76.83971518,85,556:32:58,0,10,00:00:00,84.45361375,100,00:00:00,69.47192476,75,00:00:00,25,25,00:00:00,84.59311271,100,212:23:22,50,50,00:00:00,0,10,00:00:00,89.41220046,100,00:00:00,75.86240149,87,00:00:00,1091:22:58,25,25,00:00:00,75,75,00:00:00,75,75,00:00:00,10,10,00:00:00,9.859301619,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00
A14843625,FI,JR,77.32022866,100,00:00:00,100,100,00:00:00,80.24264358,85,00:00:00,96.86476253,100,00:00:00,13.49278131,15,00:00:00,99.98767832,100,00:00:00,67.91798166,70,00:00:00,7.753742582,10,00:00:00,44.89821381,47,00:00:00,80.49490399,85,418:50:02,10,10,00:00:00,82.54561851,100,00:00:00,75,75,00:00:00,25,25,00:00:00,97.06559948,100,00:00:00,48.59964905,50,00:00:00,3.678796434,10,00:00:00,94.54601773,100,00:00:00,86.31463607,87,00:00:00,945:46:04,24.11578698,25,00:00:00,70.00233824,75,00:00:00,73.46446574,75,00:00:00,8.371252487,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,418:50:02,5.686251206,10,00:00:00,10,10,00:00:00,7.998871196,10,00:00:00,10,10,00:00:00,10,10,00:00:00
A14883274,RE,JR,100,100,00:00:00,67.5290513,100,00:00:00,60.40000251,85,00:00:00,81.91094764,100,00:00:00,15,15,00:00:00,92.8828521,100,00:00:00,70,70,00:00:00,9.160622503,10,00:00:00,47,47,00:00:00,79.69423182,85,645:24:50,9.907015896,10,00:00:00,96.55472075,100,00:00:00,60.30898352,75,00:00:00,20.08138929,25,00:00:00,91.45153795,100,00:00:00,46.34403213,50,00:00:00,1.440062814,10,00:00:00,87.2438933,100,00:00:00,63.54785409,87,00:00:00,669:12:21,17.14664237,25,669:12:21,57.54650936,75,00:00:00,63.78441205,75,645:24:50,8.947898827,10,645:24:50,8.809047537,10,00:00:00,7.365423271,10,00:00:00,7.742460049,10,00:00:00,10,10,645:24:50,10,10,00:00:00,8.474504225,10,00:00:00,8.672227071,10,645:24:50,9.314866767,10,00:00:00,7.480378151,10,00:00:00
A14781873,TH,SR,96.38224683,100,00:00:00,69.3679423,100,00:00:00,76.30586832,85,00:00:00,96.81974787,100,00:00:00,9.151062403,15,00:00:00,91.14341855,100,47:53:45,52.22374778,70,00:00:00,9.697245014,10,00:00:00,46.3071726,47,00:00:00,73.44800366,85,00:00:00,10,10,00:00:00,80.63637592,100,00:00:00,52.84377613,75,00:00:00,19.12751623,25,00:00:00,81.96755407,100,00:00:00,42.90677655,50,00:00:00,2.055868927,10,00:00:00,93.88194674,100,00:00:00,73.4007012,87,00:00:00,246:35:39,24.28473929,25,00:00:00,69.05596681,75,00:00:00,75,75,00:00:00,10,10,00:00:00,9.79724547,10,00:00:00,10,10,00:00:00,10,10,246:35:39,10,10,00:00:00,10,10,246:35:39,9.660878856,10,00:00:00,10,10,47:53:45,10,10,00:00:00,10,10,00:00:00
A14735005,WA,JR,89.79859976,100,00:00:00,95.21419079,100,00:00:00,85,85,00:00:00,98.53915007,100,00:00:00,14.35883418,15,00:00:00,100,100,00:00:00,68.81802868,70,270:22:55,5.04308704,10,00:00:00,39.0360251,47,00:00:00,83.03726076,85,00:00:00,10,10,00:00:00,84.69443557,100,00:00:00,74.75761941,75,00:00:00,24.6476658,25,00:00:00,97.46989947,100,182:37:20,46.28943953,50,00:00:00,1.277461149,10,00:00:00,98.31505216,100,00:00:00,79.46403952,87,00:00:00,453:00:15,25,25,00:00:00,75,75,00:00:00,75,75,270:22:55,10,10,00:00:00,10,10,00:00:00,9.867923439,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.55280836,10,00:00:00,10,10,00:00:00,10,10,270:22:55,10,10,00:00:00,10,10,182:37:20
A14881757,WA,SR,80.81747318,100,00:00:00,78.8583459,100,00:00:00,60.62055382,85,00:00:00,84.08394138,100,00:00:00,13.05376837,15,00:00:00,80.6863893,100,00:00:00,32.5178923,70,00:00:00,,10,00:00:00,36.89556729,47,00:00:00,1.602972168,85,00:00:00,9.281031426,10,00:00:00,,100,00:00:00,50.02489348,75,00:00:00,18.82721338,25,00:00:00,48.44341441,100,00:00:00,32.96205744,50,00:00:00,,10,00:00:00,,100,00:00:00,68.1523671,87,00:00:00,00:00:00,17.2333267,25,00:00:00,54.25104285,75,00:00:00,58.35110981,75,00:00:00,9.159435181,10,00:00:00,9.46455714,10,00:00:00,9.899736454,10,00:00:00,6.496624045,10,00:00:00,10,10,00:00:00,10,10,00:00:00,8.83266063,10,00:00:00,7.992417116,10,00:00:00,8.159398323,10,00:00:00,8.03882001,10,00:00:00
A14235397,SI,SR,80.57616225,100,00:00:00,95.9734664,100,00:00:00,78.20842476,85,00:00:00,100,100,00:00:00,15,15,00:00:00,87.25158464,100,00:00:00,70,70,341:01:51,10,10,00:00:00,41.60592917,47,00:00:00,78.38835454,85,431:31:19,10,10,00:00:00,96.04778155,100,00:00:00,75,75,00:00:00,19.40908249,25,00:00:00,96.79964445,100,00:00:00,49.48131331,50,00:00:00,4.382067545,10,00:00:00,94.00229799,100,00:00:00,87,87,00:00:00,794:42:09,23.00941258,25,00:00:00,75,75,00:00:00,75,75,431:31:19,9.04458846,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.836022592,10,00:00:00,9.211561729,10,00:00:00
A14313679,WA,SR,69.25580327,100,00:00:00,93.01361423,100,00:00:00,68.83324719,85,00:00:00,80.39038624,100,268:26:07,15,15,00:00:00,98.30084216,100,00:00:00,66.40502933,70,00:00:00,10,10,00:00:00,47,47,00:00:00,73.94343783,85,00:00:00,10,10,00:00:00,85.29643283,100,434:14:10,65.37146065,75,00:00:00,19.34696345,25,00:00:00,88.90548786,100,00:00:00,41.66306764,50,00:00:00,8.352941043,10,00:00:00,100,100,00:00:00,68.67268775,87,00:00:00,702:40:17,17.88382777,25,00:00:00,65.02868882,75,00:00:00,73.04435262,75,00:00:00,10,10,00:00:00,10,10,00:00:00,8.475355313,10,00:00:00,9.804250878,10,00:00:00,9.754968029,10,00:00:00,10,10,00:00:00,10,10,00:00:00,8.550950752,10,00:00:00,10,10,434:14:10,9.878824228,10,00:00:00
A14806839,WA,SO,98.78337335,100,96:09:33,92.51192594,100,00:00:00,73.10908878,85,00:00:00,82.61554959,100,00:00:00,12.39338767,15,00:00:00,90.30074118,100,00:00:00,53.91607953,70,00:00:00,8.105493005,10,00:00:00,28.35185513,47,00:00:00,79.16831064,85,00:00:00,2.070151052,10,00:00:00,64.35194545,100,00:00:00,64.13084425,75,00:00:00,15.33426991,25,00:00:00,41.93053963,100,00:00:00,41.29190296,50,00:00:00,7.673922636,10,00:00:00,88.12914234,100,00:00:00,63.82163188,87,00:00:00,96:09:33,23.91578669,25,00:00:00,72.12915724,75,00:00:00,75,75,00:00:00,10,10,96:09:33,9.507365448,10,96:09:33,10,10,96:09:33,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,10,10,00:00:00,9.964177217,10,00:00:00,10,10,00:00:00,10,10,00:00:00
A14313679,FI,SR,67.92384508,100,00:00:00,95.86137748,100,00:00:00,64.17529928,85,00:00:00,74.72380433,100,268:26:07,15,15,00:00:00,100,100,00:00:00,69.66993327,70,00:00:00,10,10,00:00:00,45.48173898,47,00:00:00,79.85139238,85,00:00:00,10,10,00:00:00,86.26172177,100,434:14:10,71.48377527,75,00:00:00,24.61877467,25,00:00:00,95.59963771,100,00:00:00,47.2008698,50,00:00:00,1.077668392,10,00:00:00,94.74886173,100,00:00:00,74.06745676,87,00:00:00,702:40:17,20.88294447,25,00:00:00,54.12562327,75,00:00:00,66.82914354,75,00:00:00,9.410437763,10,00:00:00,9.268369945,10,702:40:17,9.518017461,10,702:40:17,10,10,434:14:10,6.407604072,10,268:26:07,10,10,268:26:07,5.941152855,10,00:00:00,7.97709086,10,702:40:17,10,10,00:00:00,10,10,702:40:17
A14327063,FI,SR,81.55874283,100,00:00:00,52.23063921,100,00:00:00,64.41453481,85,00:00:00,92.97561207,100,00:00:00,13.89428453,15,00:00:00,,100,00:00:00,30.35469028,70,00:00:00,,10,00:00:00,47,47,00:00:00,84.96812862,85,00:00:00,,10,00:00:00,92.02624166,100,00:00:00,73.20842807,75,00:00:00,25,25,00:00:00,68.7349948,100,453:54:49,28.87742435,50,00:00:00,,10,00:00:00,83.89230368,100,00:00:00,68.91988171,87,00:00:00,644:57:10,20.37859307,25,00:00:00,65.10057337,75,00:00:00,70.42533602,75,00:00:00,9.102829995,10,644:57:10,9.349612655,10,00:00:00,7.809592166,10,00:00:00,9.648857897,10,00:00:00,10,10,00:00:00,9.8494468,10,00:00:00,10,10,00:00:00,8.979487321,10,00:00:00,9.119401453,10,00:00:00,9.270472386,10,00:00:00
A14548091,SI,SR,86.39780165,100,00:00:00,79.77837591,100,1089:33:59,75.94316641,85,00:00:00,60.35764799,100,00:00:14,15,15,00:00:00,83.74708009,100,47:17:58,44.17153534,70,00:00:00,9.348412522,10,00:00:00,37.67790732,47,00:00:00,80.00766596,85,00:00:00,8.789900458,10,00:00:00,98.50671954,100,00:00:00,52.87463258,75,00:00:00,22.91998785,25,00:00:00,75.61660907,100,00:00:00,40.12799713,50,00:00:00,4.593249123,10,00:00:00,100,100,00:00:00,64.74663087,87,00:00:00,1335:35:29,20.33341604,25,00:00:00,69.52571634,75,00:00:00,73.56725704,75,00:00:00,10,10,47:17:58,7.373752696,10,47:17:58,9.423204024,10,00:00:00,10,10,00:00:00,10,10,00:00:00,8.855385802,10,47:17:58,10,10,00:00:00,8.707151894,10,47:17:58,10,10,00:00:00,10,10,00:00:00
